Table Index,Row Index,Original English,Thai Translation,Status
1,1,Course Introduction,บทนำหลักสูตร,Translated
1,2,Course Welcome,ยินดีต้อนรับหลักสูตร,Translated
1,3,SMENFP1.2_1_260427,SMENFP1.2_1_260427,Skipped/Protected
1,4,Course Welcome,ยินดีต้อนรับหลักสูตร,Translated
1,5,Course 01,หลักสูตร 01,Translated
1,6,Course 01,หลักสูตร 01,Translated
1,7,Foundations of ,รากฐานของ,Translated
1,8,Foundations of ,รากฐานของ,Translated
1,9,PLASTIC WASTE MANAGEMENT,การจัดการขยะพลาสติก,Translated
1,10,PLASTIC WASTE MANAGEMENT,การจัดการขยะพลาสติก,Translated
1,11,Welcome to the Foundations of Plastic Waste Management course.  Select Next to continue.,ยินดีต้อนรับสู่หลักสูตรพื้นฐานการจัดการขยะพลาสติก  เลือก ถัดไป เพื่อดำเนินการต่อ,Translated
1,12,Introduction​,บทนำ,Translated
1,13,Introduction,การแนะนำ,Translated
1,14,Plastic comes from a remarkable combination of properties.,พลาสติกมาจากการผสมผสานคุณสมบัติที่น่าทึ่ง,Translated
1,15,While the,ในขณะที่,Translated
1,16, , ,Skipped/Protected
1,17,benefits,ประโยชน์,Translated
1,18, , ,Skipped/Protected
1,19,of,ของ,Translated
1,20, , ,Skipped/Protected
1,21,plastics,พลาสติก,Translated
1,22, , ,Skipped/Protected
1,23,"are many, so too are the ",มีมากมายเช่นกัน,Translated
1,24,problems,ปัญหา,Translated
1,25, they ,พวกเขา,Translated
1,26,cause after use,สาเหตุหลังการใช้งาน,Translated
1,27,.,.,Skipped/Protected
1,28,Low cost,ต้นทุนต่ำ,Translated
1,29,"Resistant to  heat, chemicals, and light",ทนทานต่อความร้อน สารเคมี และแสง,Translated
1,30,Popularity  of Plastics,ความนิยมของพลาสติก,Translated
1,31,Basics of Plastic,พื้นฐานของพลาสติก,Translated
1,32,Impact of Plastic Waste,ผลกระทบของขยะพลาสติก,Translated
1,33,Easily molded or melted into different shapes,ขึ้นรูปหรือหลอมเป็นรูปทรงต่างๆ ได้อย่างง่ายดาย,Translated
1,34,Strength and durability,ความแข็งแรงและความทนทาน,Translated
1,35,Types of Plastic,ประเภทของพลาสติก,Translated
1,36,Benefits of Plastic,ประโยชน์ของพลาสติก,Translated
1,37,Application  of Plastic,การใช้พลาสติก,Translated
1,38,Plastics were invented more than ,พลาสติกถูกคิดค้นขึ้นมากกว่า,Translated
1,39,100 years ,100 ปี,Translated
1,40,ago.,ที่ผ่านมา.,Translated
1,41,Did you know that plastics were invented more than 100 years ago?  ,คุณรู้ไหมว่าพลาสติกถูกประดิษฐ์ขึ้นเมื่อกว่า 100 ปีที่แล้ว?,Translated
1,42, , ,Skipped/Protected
1,43,"Today, almost all the products we use in our daily lives contain plastics.  ",ปัจจุบันผลิตภัณฑ์เกือบทั้งหมดที่เราใช้ในชีวิตประจำวันมีพลาสติก,Translated
1,44, , ,Skipped/Protected
1,45,Their popularity comes from a remarkable combination of properties.  ,ความนิยมของพวกเขามาจากการผสมผสานคุณสมบัติที่โดดเด่น,Translated
1,46, , ,Skipped/Protected
1,47,"Plastics are resistant to heat, chemicals, and light. They are strong and durable and yet can be easily molded or melted into different shapes. Along with their low cost, these qualities have fueled the worldwide demand for plastics.  ",พลาสติกทนทานต่อความร้อน สารเคมี และแสง มีความแข็งแรงและทนทานแต่ยังสามารถขึ้นรูปหรือหลอมเป็นรูปทรงต่างๆ ได้อย่างง่ายดาย นอกจากต้นทุนที่ต่ำแล้ว คุณสมบัติเหล่านี้ยังกระตุ้นความต้องการพลาสติกทั่วโลกอีกด้วย,Translated
1,48, , ,Skipped/Protected
1,49,"However, there is a downside. Once plastics are discarded, they create significant environmental problems. Plastic waste accumulates rapidly, harming ecosystems and threatening our future.  ",อย่างไรก็ตาม มีข้อเสียอยู่ เมื่อทิ้งพลาสติกแล้ว จะก่อให้เกิดปัญหาสิ่งแวดล้อมที่สำคัญ ขยะพลาสติกสะสมอย่างรวดเร็ว เป็นอันตรายต่อระบบนิเวศ และคุกคามอนาคตของเรา,Translated
1,50, , ,Skipped/Protected
1,51,"To better understand both the promise and the problem of plastics, let’s explore their basics, types, benefits, and the growing challenges their waste presents.",เพื่อทำความเข้าใจทั้งคำมั่นสัญญาและปัญหาของพลาสติกให้ดีขึ้น เรามาสำรวจพื้นฐาน ประเภท ประโยชน์ และความท้าทายที่เพิ่มขึ้นของขยะพลาสติกกัน,Translated
1,52,Learning Objectives,วัตถุประสงค์การเรียนรู้,Translated
1,53,Learning Objectives,วัตถุประสงค์การเรียนรู้,Translated
1,54,"By the end of the course, you will be able to: ",เมื่อจบหลักสูตร คุณจะสามารถ:,Translated
1,55, , ,Skipped/Protected
1,56,Identify different types of plastic. ,จำแนกพลาสติกประเภทต่างๆ,Translated
1,57, , ,Skipped/Protected
1,58,List common applications of plastics. ,แสดงรายการการใช้งานทั่วไปของพลาสติก,Translated
1,59, , ,Skipped/Protected
1,60,Recognize the benefits plastics provide. ,ตระหนักถึงคุณประโยชน์ที่พลาสติกมอบให้,Translated
1,61, , ,Skipped/Protected
1,62,"Describe the impacts of plastic waste, including key issues and their effects.",อธิบายผลกระทบของขยะพลาสติก รวมถึงประเด็นสำคัญและผลกระทบ,Translated
1,63,"By the end of the course, you will be able to: ",เมื่อจบหลักสูตร คุณจะสามารถ:,Translated
1,64,"Identify different types of plastic, ",จำแนกพลาสติกประเภทต่างๆ,Translated
1,65,"List common applications of plastics, ",แสดงรายการการใช้งานทั่วไปของพลาสติก,Translated
1,66,"Recognize the benefits plastics provide, and ",ตระหนักถึงคุณประโยชน์ที่พลาสติกมอบให้ และ,Translated
1,67,"Describe the impacts of plastic waste, including key issues and their effects.",อธิบายผลกระทบของขยะพลาสติก รวมถึงประเด็นสำคัญและผลกระทบ,Translated
1,68,Menu,เมนู,Translated
1,69,FOUNDATIONS OF   ,รากฐานของ,Translated
1,70,PLASTIC WASTE MANAGEMENT,การจัดการขยะพลาสติก,Translated
1,71,30 mins,30 นาที,Translated
1,72,"Plastics and Plastic Waste: Types, Impact, and Future",พลาสติกและขยะพลาสติก: ประเภท ผลกระทบ และอนาคต,Translated
1,73,30 mins,30 นาที,Translated
1,74,"Plastics and Plastic Waste: Types, Impact, and Future",พลาสติกและขยะพลาสติก: ประเภท ผลกระทบ และอนาคต,Translated
1,75,30 mins,30 นาที,Translated
1,76,"Plastics and Plastic Waste: Types, Impact, and Future",พลาสติกและขยะพลาสติก: ประเภท ผลกระทบ และอนาคต,Translated
1,77,15 mins,15 นาที,Translated
1,78,Climate Interactions vs Plastic Waste Management,ปฏิสัมพันธ์ระหว่างสภาพภูมิอากาศกับการจัดการขยะพลาสติก,Translated
1,79,15 mins,15 นาที,Translated
1,80,Climate Interactions vs Plastic Waste Management,ปฏิสัมพันธ์ระหว่างสภาพภูมิอากาศกับการจัดการขยะพลาสติก,Translated
1,81,15 mins,15 นาที,Translated
1,82,Climate Interactions vs Plastic Waste Management,ปฏิสัมพันธ์ระหว่างสภาพภูมิอากาศกับการจัดการขยะพลาสติก,Translated
1,83,15 mins,15 นาที,Translated
1,84,Climate Interactions vs Plastic Waste Management,ปฏิสัมพันธ์ระหว่างสภาพภูมิอากาศกับการจัดการขยะพลาสติก,Translated
1,85,10 mins,10 นาที,Translated
1,86,Plastics in Solid Waste  Management: ,พลาสติกในการจัดการขยะมูลฝอย:,Translated
1,87,Flooding and Microbeads,น้ำท่วมและไมโครบีดส์,Translated
1,88,10 mins,10 นาที,Translated
1,89,Plastics in Solid Waste  Management: ,พลาสติกในการจัดการขยะมูลฝอย:,Translated
1,90,Flooding and Microbeads,น้ำท่วมและไมโครบีดส์,Translated
1,91,10 mins,10 นาที,Translated
1,92,Plastics in Solid Waste  Management: ,พลาสติกในการจัดการขยะมูลฝอย:,Translated
